,HrlyTemp,HrlyHum
1/1/20 0:00,50,74
1/1/20 1:00,50,74
1/1/20 2:00,50,77
1/1/20 3:00,50,71
1/1/20 4:00,48,77
1/1/20 5:00,46,77
1/1/20 6:00,47,71
1/1/20 7:00,52,50
1/1/20 8:00,53,55
1/1/20 9:00,59,48
1/1/20 10:00,63,34
1/1/20 11:00,64,40
1/1/20 12:00,65,51
1/1/20 13:00,64,65
1/1/20 14:00,64,70
1/1/20 15:00,64,75
1/1/20 16:00,63,75
1/1/20 17:00,62,78
1/1/20 18:00,61,81
1/1/20 19:00,61,81
1/1/20 20:00,61,81
1/1/20 21:00,61,81
1/1/20 22:00,59,83
1/1/20 23:00,57,87
1/2/20 0:00,57,87
1/2/20 1:00,56,90
1/2/20 2:00,56,87
1/2/20 3:00,54,87
1/2/20 4:00,52,89
1/2/20 5:00,54,87
1/2/20 6:00,53,86
1/2/20 7:00,52,86
1/2/20 8:00,54,83
1/2/20 9:00,57,74
1/2/20 10:00,63,63
1/2/20 11:00,64,54
1/2/20 12:00,67,47
1/2/20 13:00,65,61
1/2/20 14:00,65,68
1/2/20 15:00,64,75
1/2/20 16:00,65,66
1/2/20 17:00,63,68
1/2/20 18:00,61,78
1/2/20 19:00,60,84
1/2/20 20:00,60,80
1/2/20 21:00,57,87
1/2/20 22:00,55,90
1/2/20 23:00,55,90
1/3/20 0:00,55,90
1/3/20 1:00,52,89
1/3/20 2:00,53,83
1/3/20 3:00,51,86
1/3/20 4:00,51,83
1/3/20 5:00,51,83
1/3/20 6:00,50,83
1/3/20 7:00,51,80
1/3/20 8:00,55,72
1/3/20 9:00,63,45
1/3/20 10:00,67,31
1/3/20 11:00,69,29
1/3/20 12:00,69,35
1/3/20 13:00,68,53
1/3/20 14:00,69,42
1/3/20 15:00,70,38
1/3/20 16:00,69,39
1/3/20 17:00,67,37
1/3/20 18:00,63,87
1/3/20 19:00,62,90
1/3/20 20:00,63,90
1/3/20 21:00,59,90
1/3/20 22:00,56,90
1/3/20 23:00,55,90
1/4/20 0:00,55,90
1/4/20 1:00,51,86
1/4/20 2:00,51,80
1/4/20 3:00,49,83
1/4/20 4:00,48,86
1/4/20 5:00,49,90
1/4/20 6:00,49,93
1/4/20 7:00,48,93
1/4/20 8:00,50,96
1/4/20 9:00,56,67
1/4/20 10:00,61,56
1/4/20 11:00,64,58
1/4/20 12:00,68,49
1/4/20 13:00,65,54
1/4/20 14:00,65,73
1/4/20 15:00,66,70
1/4/20 16:00,65,73
1/4/20 17:00,62,84
1/4/20 18:00,61,87
1/4/20 19:00,60,86
1/4/20 20:00,59,90
1/4/20 21:00,58,90
1/4/20 22:00,57,90
1/4/20 23:00,54,93
1/5/20 0:00,54,93
1/5/20 1:00,52,97
1/5/20 2:00,53,96
1/5/20 3:00,52,97
1/5/20 4:00,51,89
1/5/20 5:00,50,100
1/5/20 6:00,48,93
1/5/20 7:00,49,93
1/5/20 8:00,51,92
1/5/20 9:00,57,81
1/5/20 10:00,60,67
1/5/20 11:00,65,49
1/5/20 12:00,64,60
1/5/20 13:00,64,75
1/5/20 14:00,65,73
1/5/20 15:00,66,68
1/5/20 16:00,64,75
1/5/20 17:00,62,80
1/5/20 18:00,60,84
1/5/20 19:00,59,87
1/5/20 20:00,57,87
1/5/20 21:00,57,87
1/5/20 22:00,56,87
1/5/20 23:00,56,84
1/6/20 0:00,56,84
1/6/20 1:00,51,86
1/6/20 2:00,51,83
1/6/20 3:00,48,89
1/6/20 4:00,48,86
1/6/20 5:00,49,80
1/6/20 6:00,46,86
1/6/20 7:00,48,80
1/6/20 8:00,51,77
1/6/20 9:00,60,56
1/6/20 10:00,65,47
1/6/20 11:00,70,34
1/6/20 12:00,74,23
1/6/20 13:00,76,18
1/6/20 14:00,79,19
1/6/20 15:00,74,33
1/6/20 16:00,73,35
1/6/20 17:00,68,44
1/6/20 18:00,64,58
1/6/20 19:00,59,75
1/6/20 20:00,60,67
1/6/20 21:00,56,75
1/6/20 22:00,54,75
1/6/20 23:00,53,61
1/7/20 0:00,53,61
1/7/20 1:00,51,48
1/7/20 2:00,51,46
1/7/20 3:00,49,52
1/7/20 4:00,48,54
1/7/20 5:00,47,56
1/7/20 6:00,46,56
1/7/20 7:00,45,61
1/7/20 8:00,51,46
1/7/20 9:00,62,31
1/7/20 10:00,68,23
1/7/20 11:00,75s,18
1/7/20 12:00,74,16
1/7/20 13:00,70,42
1/7/20 14:00,68,49
1/7/20 15:00,67,49
1/7/20 16:00,65,73
1/7/20 17:00,63,81
1/7/20 18:00,62,86
1/7/20 19:00,61,81
1/7/20 20:00,60,86
1/7/20 21:00,55,83
1/7/20 22:00,54,87
1/7/20 23:00,51,86
1/8/20 0:00,51,86
1/8/20 1:00,54,72
1/8/20 2:00,49,83
1/8/20 3:00,47,80
1/8/20 4:00,47,83
1/8/20 5:00,50,68
1/8/20 6:00,48,74
1/8/20 7:00,50,63
1/8/20 8:00,51,66
1/8/20 9:00,55,59
1/8/20 10:00,57,60
1/8/20 11:00,60,65
1/8/20 12:00,62,67
1/8/20 13:00,63,58
1/8/20 14:00,63,56
1/8/20 15:00,63,56
1/8/20 16:00,62,60
1/8/20 17:00,62,65
1/8/20 18:00,61,65
1/8/20 19:00,60,67
1/8/20 20:00,61,67
1/8/20 21:00,60,70
1/8/20 22:00,57,74
1/8/20 23:00,57,74
1/9/20 0:00,57,74
1/9/20 1:00,56,77
1/9/20 2:00,56,77
1/9/20 3:00,57,74
1/9/20 4:00,57,74
1/9/20 5:00,56,75
1/9/20 6:00,55,77
1/9/20 7:00,56,77
1/9/20 8:00,57,74
1/9/20 9:00,61,63
1/9/20 10:00,62,58
1/9/20 11:00,62,56
1/9/20 12:00,62,56
1/9/20 13:00,63,54
1/9/20 14:00,63,56
1/9/20 15:00,62,56
1/9/20 16:00,59,83
1/9/20 17:00,58,90
1/9/20 18:00,58,90
1/9/20 19:00,57,87
1/9/20 20:00,56,97
1/9/20 21:00,55,93
1/9/20 22:00,55,93
1/9/20 23:00,56,90
1/10/20 0:00,56,90
1/10/20 1:00,52,93
1/10/20 2:00,52,89
1/10/20 3:00,50,89
1/10/20 4:00,49,90
1/10/20 5:00,48,93
1/10/20 6:00,49,86
1/10/20 7:00,48,86
1/10/20 8:00,50,89
1/10/20 9:00,55,74
1/10/20 10:00,58,67
1/10/20 11:00,61,58
1/10/20 12:00,65,49
